Select,Quiz,Answer,Yomi
"@","アニメ「ポケットモンスター」シリーズのムサシ、「新世紀エヴァンゲリオン」の綾波レイ、「名探偵コナン」の灰原哀訳などで知られる声優は誰でしょう？","林原めぐみ","はやしばらめぐみ"
"@","SNSでは特定の相手の発言を非表示にする機能を、通話アプリでは自分の声が中心に入らないようにする機能を、動画サービスでは音量をゼロにすることを指して使われる「無音」を意味する英語は何でしょう？","ミュート","みゅーと"
"@","元々は囲碁で対局者よりも傍観者の方がよく手を読めるという意味で使われ、転じて当事者よりも第三者の方が物事の真相や得失などを的確にとらえられるという意味を持つようになった「目」という漢字を2回使った四字熟語は何でしょう？","岡目八目/傍目八目","おかめはちもく"
"@","ゴルフのストロークプレーで、誤って他人のボールを打った時には何打の罰がペナルティーとして罰せられるでしょう？","2打","2"
"@","東京都に現在3駅ある新幹線停車駅とは、上野駅、東京駅と何駅でしょう？","品川駅","しながわ"
"@","尖った葉っぱが鬼の目を突き刺すといわれていることから、節分では魔除けとして飾られている植物は何でしょう？","柊","ひいらぎ"
"@","1969年に月面探査機・アポロ11号が着陸した場所である、月の赤道よりも少し北に広がる平坦地のことを、日本語では一般に「何の海」というでしょう？","静かの海","しずか"
"@","ドイツ語では「空腹」という意味の言葉で、日本語ではアニメ「怪物くん」でフランケンが発する言葉として知られているのは何でしょう？","フンガー","ふんがー"
"@","日本の車のナンバープレートに使われない4種類の現代的仮名遣いのひらがなとは「お」「し」「ん」と何でしょう？","へ","へ"
"@","本名を橋本明代という、「なみだ恋」「雨の慕情」「舟唄」などの代表曲がある熊本県出身の演歌歌手は誰でしょう？","八代亜紀","やしろあき"
"@","当時の優良品種である「久瑠米49号」に「栃の峰」を交配させ、栃木県農業試験場で育成された、現在日本で最も生産されているイチゴの品種は何でしょう？","とちおとめ","とちおとめ"
"@","コンビニで売られているざるそばなどの料理に付属している、麺にふりかけて食べやすくするための水を何というでしょう？","ほぐし水","ほぐしみず"
"@","大場つぐみ原作、小畑健作画の「DEATH NOTE」で、デスノートになめだけを書いた場合、書かれた相手の死因は何になるでしょう？","心臓麻痺","しんぞうまひ"
"@","漫画「ONE PIECE」で、麦わらの一味で船医を務めている、ヒトヒトの実の能力者であるトナカイのキャラクターの名前は何でしょう？","トニートニー・チョッパー","ちょっぱー"
"@","「前核細胞」とも呼ばれる、核膜を持たない細胞のことを、核膜をもつ「真核細胞」に対して「何細胞」というでしょう？","原核生物","げんかく"
"@","「上野発の約列車降りた時から」という歌い出しで知られる、演歌歌手・石川さゆりの代表曲は何でしょう？","津軽海峡・冬景色","つがるかいきょう・ふゆげしき"
"@","作家・坪井栄の出身地で、彼女の小説「二十四の瞳」の舞台のモデルといわれている、オリーブの産地としても有名な香川県の島は何島でしょう？","小豆島","しょうど"
"@","そのファンは「スラッシャー」とよばれる、北村匠海がボーカルを務め、代表曲に「沈丁花」「猫」などがあるダンスロックバンドは何でしょう？","DISH//","ディッシュ"
"@","鳥の「セキセイインコ」を漢字5文字で書いたときに使われる、色を表す2種類の漢字は「黄色」と何でしょう？","青","あお"
"@","日本において、紙巻きたばこのパッケージに含有量の記載が義務付けられている2つの成分とは、ニコチンと何でしょう？","タール","たーる"
"@","その名前は「いつも気持ちの良い環境」を意味する英語の頭文字を取ったものである、社長の元谷芙美子が自ら広告塔として宣伝を行っているホテルチェーンは何でしょう？","アパホテル","あぱほてる"
"@","その価値は寄付額の3割以下と総務省によって定められている、ふるさと納税において、自治体が寄付者に送る特産品やサービスなどを「何品」というでしょう？","返礼品","へんれいひん"
"@","たくやとかずやの双子からなり「おすぎとピーコ」のモノマネや「幽体離脱」のギャグなど、双子であることを生かした芸風を特徴とするホリプロ・コム所属のお笑いコンビは何でしょう？","ザ・たっち","ざたっち"
"@","ゲーム「ポケットモンスター」シリーズに登場するポケモン全国図鑑No.0025のポケモンで、アニメ版ではサトシの相棒としておなじみであったキャラクターは何でしょう？","ピカチュウ","ぴかちゅう"
"@","1986年に菊池敬一により名古屋市天白区に1号店が開店した、「遊べる本屋」をキャッチフレーズに書籍をはじめ様々な雑貨を販売している点が特徴の「ヴィレヴァン」の愛称で知られる書店チェーンは何でしょう？","ヴィレッジヴァンガード","ゔぃれっじゔぁんがーど"
"@","その技は「インフィニティ」「ガンマン」「ソニック」などの系統に分けられる、手や指を使ってある文房具を自在に操るテクニックを一般に何というでしょう？","ペン回し","ぺんまわし"
"@","牛肉で赤身の間に白い脂肪が網目のように入っている状態のことを、寒い季節に起こる自然現象を表す言葉を使って何というでしょう？","霜降り","しもふり"
"@","下の名前は「ユキナリ」である、「ポケットモンスター」に登場する、カントー地方のマサラタウンでポケモンを研究している博士は誰でしょう？","オーキド博士","おーきど"
"@","無理な繁盛店舗を目指さない「ガラガラ経営」とよばれる経営戦略を打ち出しているマスコットキャラクターであるウサギの「ミミちゃん」もおなじみの、子ども用雑貨の専門店は何でしょう？","西松屋","にしまつや"
