Select,Quiz,Answer,Yomi
"@","歌川広重の浮世絵連作「東海道中五十三次」で出発地として描かれている東京の橋はどこでしょう？","日本橋","にほんばし"
"@","地域によっては「ニコミ」や「ノシコミ」とも呼ばれる、味噌仕立ての汁に幅の広い面とかぼちゃなどの野菜を入れた山梨県の郷土料理は何でしょう？","ほうとう","ほうとう"
"@","国名の英語名に「love」が含まれることから「愛のある国」ともいわれる、首都をリュブリャナにおくヨーロッパの国はどこでしょう？","スロベニア","すろべにあ"
"@","司会のみのもんたによる「ファイナルアンサー？」という決まり文句も有名な、2000年に放送されたフジテレビのクイズ番組は何でしょう？","クイズ$ミリオネア","くいずみりおねあ"
"@","英語では「アルケミー」という、近代自然科学が発達する以前のヨーロッパで特に流行した、鉄や銅などの卑金属から金や銀などの貴金属を作り出す秘術のことを漢字3文字で何というでしょう？","錬金術","れんきんじゅつ"
"@","パッケージにも使用されている女優・松山容子の写真も有名な、1968年に大塚食品工業から発売された、世界初の市販用レトルトカレー食品は何でしょう？","ボンカレー","ぼんかれー"
"@","ゲーム「ポケットモンスター」シリーズに登場する技名で「りゅうの」「みかづきの」「はなびらの」「つるぎの」の後に共通して続く言葉は何でしょう？","まい","まい"
"@","江戸自体に中山道六十九次に位置する宿場の中で唯一、その名前が漢字1文字で表記される、現在の埼玉県にあった宿場はどこでしょう？","蕨宿","わらび"
"@","2010年に「涙の銀座線」でメジャーデビューした、現在は酒井一圭、白川裕次郎、後藤翔太の3人からなる歌謡コーラスグループは何でしょう？","純烈","じゅんれつ"
"@","YouTubeで動画を公開する際に、日時を指定して動画投稿者と視聴者がリアルタイムで同時に閲覧し楽しむ機能のことを「何公開」というでしょう？","プレミア公開","ぷれみあ"
"@","実家は宮城県栗原市にある櫻田山神社である、「ラーメン、つけ麺、僕イケメン」のネタでおなじみのマセキ芸能社所属のお笑いタレントは誰でしょう？","狩野英孝","かのえいこう"
"@","動詞としては「訓練する」、名刺としては「電車」という意味を持つ英単語は何でしょう？","train","train"
"@","香川県の市で、名前に「寺」の字がつく2つの市とは観音寺氏と何市でしょう？","善通寺市","ぜんつうじ"
"@","別名を「空胞」という、植物細胞の中央の空間の大部分を占めている、細胞液で満たされ、原形質を欠いた構造のことを漢字2文字で何というでしょう？","液胞","えきほう"
"@","郷ひろみ、野口五郎とともに「新御三家」ともよばれ、「スカイブルー」「YOUNG MAN(Y.M.C.A)」などのヒット曲で知られた往年のアイドル歌手は誰でしょう？","西城秀樹","さいじょうひでき"
"@","1988年のソウルオリンピックにおいて、陸上競技の女子100m、200m、4×100mリレーで3冠を達成した、女子100mと200mで世界記録保持者となっているアメリカの元陸上選手は誰でしょう？","フローレンス・グリフィス=ジョイナー","じょいなー"
"@","1948年委、読売巨人軍の選手だった千葉茂が銀座の洋食店・グリルスイスで注文して誕生したものが直接のルーツとされる、カレーライスにカツレツをトッピングした料理を一般に何というでしょう？","カツカレー","かつかれー"
"@","ペリカン、キール、アップルなどの品種がある、日本では沖縄県や宮崎県が産地として有名なウルシ科の果物は何でしょう？","マンゴー","まんごー"
"@","英語では「エマルシフィケーション」といい、マヨネーズやバターを作る際に利用される、油と水など本来混じり合わない液体の片方に微粒子にして、もう片方の中に分散させた状態を漢字2文字で何というでしょう？","乳化","にゅうか"
"@","2021年11月にはスーパーコンピュータの世界ランキングで　4期連続の4冠を達成している、1秒間に約44京2010兆回と圧倒的な計算速度をもつ、理化学研究所と富士通が開発し2021年3月に共用を開始したスーパーコンピューターは何でしょう？","富岳","ふがく"
